media,str_date,reprint,scores
21世纪经济报道,20191106,1,0
北京商报,20191106,9,-1
第一财经,20191106,1,0
第一财经,20191106,4,0
中国证券报,20191106,2,0
金融界,20191106,0,0
金融界,20191106,1,0
新浪,20191106,0,0
上海证券报,20191106,0,0
中国证券报,20191106,3,0
中国证券报,20191106,0,0
财新网,20191106,0,0
财联社,20191106,0,0
新浪,20191106,5,0
新京报,20191106,0,0
21世纪经济报道,20191106,1,0
第一财经,20191106,1,0
21世纪经济报道,20191106,3,-1
界面,20191106,1,0
第一财经,20191106,1,0
第一财经,20191106,2,0
经济观察报,20191106,1,0
21世纪经济报道,20191106,1,0
北京商报,20191106,5,0
北京商报,20191106,1,0
北京商报,20191106,1,0
财联社,20191106,1,0
金融时报,20191106,0,0
21世纪经济报道,20191107,0,0
中国证券报,20191106,9,0
中国证券报,20191106,5,0
第一财经,20191106,2,0
21世纪经济报道,20191107,7,0
21世纪经济报道,20191107,1,0
21世纪经济报道,20191107,1,0
21世纪经济报道,20191107,1,0
中华工商时报,20191107,0,0
中华工商时报,20191107,1,0
金融投资报,20191107,3,0
金融投资报,20191107,0,2
金融投资报,20191107,2,2
21世纪经济报道,20191107,7,0
中国经济网,20191107,8,-2
新闻晨报,20191107,1,0
新闻晨报,20191107,0,0
上海证券报,20191107,1,0
上海证券报,20191107,1,0
上海证券报,20191107,14,0
中国基金报,20191107,12,0
中国证券报,20191107,2,0
中国证券报,20191107,15,0
中国证券报,20191107,14,0
中国证券报,20191107,13,0
中国证券报,20191107,12,0
财联社,20191107,1,0
财新网,20191107,0,0
财新网,20191107,0,0
中国网,20191107,1,2
新京报,20191107,1,0
新京报,20191107,3,0
中国证券报,20191107,8,0
经济参考报,20191107,0,2
经济参考报,20191107,1,0
中国证券报,20191107,2,0
财联社,20191107,0,0
北京商报,20191106,4,0
北京商报,20191107,2,0
中国网,20191107,4,2
新京报,20191107,0,0
证券时报,20191107,15,0
证券时报,20191107,10,0
腾讯,20191107,0,2
第一财经,20191107,3,0
第一财经,20191107,1,0
第一财经,20191107,3,0
经济观察报,20191107,3,0
财联社,20191107,1,0
21世纪经济报道,20191107,0,0
中国经济网,20191107,1,2
投资快报,20191107,1,0
投资快报,20191107,1,0
投资快报,20191107,4,0
投资快报,20191107,0,0
上海证券报,20191107,2,0
腾讯,20191106,0,0
中国网,20191107,3,2
中国网,20191107,2,2
中国网,20191107,0,2
上海证券报,20191107,1,2
上海证券报,20191107,1,2
上海证券报,20191107,5,0
上海证券报,20191107,3,0
上海证券报,20191107,0,0
